Primary_Key,Location_Description
1426,"Río Bravo, near 1145 International Boulevard, Hidalgo, Hidalgo County, Texas, USA"
1427,"Río Bravo, near 1300 Military Road, San Juan, Hidalgo County, Texas, USA"
1428,"Río Bravo, near 1400 International Boulevard, Hidalgo, Hidalgo County, Texas, USA"
1429,"Río Bravo, near 1821 Military Road, Peñitas, Hidalgo County, Texas, USA"
1430,"Río Bravo, near 1860 Abram Road, Mission, Hidalgo County, Texas"
1431,"Río Bravo, near 18765 Military Road, Peñitas, Hidalgo County, Texas, USA"
1432,"Río Bravo, near 3325 Green Jay Road, Alamo, Hidalgo County, Texas, USA"
1433,"Río Bravo, near 38306 Mile 7 Road, Peñitas, Hidalgo County, Texas, USA"
1434,"Río Bravo, near 41966 Expressway 83, Havana, Hidalgo County, Texas, USA"
1435,"Río Bravo, near 4404 Ira Road, Mission, Hidalgo County, Texas, USA"
1436,"Río Bravo, near Brownsville, Cameron County, Texas, USA"
1437,"Río Bravo, near Campo Cougars, Piedras Negras, Coahuila, Mexico"
1438,"Río Bravo, near Campo Las Águilas, Piedras Negras, Coahuila, Mexico"
1439,"Río Bravo, near Centro Recreativo La Playita, Reynosa, Tamaulipas, Mexico"
1440,"Río Bravo, near Ciudad Miguel Alemán, Tamaulipas, Mexico"
1441,"Río Bravo, near Club Cougars, Piedras Negras, Coahuila, Mexico"
1442,"Río Bravo, near Colonia Claudette, Nuevo Laredo, Tamaulipas, Mexico"
1443,"Río Bravo, near Colonia Control Tres Norte, Matamoros, Tamaulipas, Mexico"
1444,"Río Bravo, near Colonia Los Pinos, Matamoros, Tamaulipas, Mexico"
1445,"Río Bravo, near Congregación Los Rodríguez, Guerrero, Coahuila, Mexico"
1446,"Río Bravo, near Ejido El Faro, KM 17 of Carretera Ribereña near Reynosa, Tamaulipas, Mexico"
1447,"Río Bravo, near Ejido Longoreño, Matamoros, Tamaulipas, Mexico"
1448,"Río Bravo, near Ejido Los Cavazos, Reynosa, Tamaulipas"
1449,"Río Bravo, near Ejido Miguel Alemán, Nuevo Laredo, Tamaulipas, Mexico"
1450,"Río Bravo, near Ejido Santo Domingo, Guerrero, Coahuila, Mexico"
1451,"Río Bravo, near El Carrizo, Nuevo Laredo, Tamaulipas, Mexico"
1452,"Río Bravo, near El Chalán, Gustavo Díaz Ordaz, Tamaulipas, Mexico"
1453,"Río Bravo, near El Indio, Maverick County, Texas, USA"
1454,"Río Bravo, near El Patinadero, Nuevo Laredo, Tamaulipas, Mexico"
1455,"Río Bravo, near El Patinadero, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico"
1456,"Río Bravo, near Garza Avenue / West Military Road, La Joya, Hidalgo County, Texas, USA"
1457,"Río Bravo, near Guardados de Arriba, Miguel Alemán, Tamaulipas, México"
1458,"Río Bravo, near Hidalgo Bridge, Reynosa, Tamaulipas, Mexico"
1459,"Río Bravo, near Hidalgo, Hidalgo County, Texas, USA"
1460,"Río Bravo, near International Bridge I, Nuevo Laredo, Tamaulipas, Mexico"
1461,"Río Bravo, near International Bridge II Juárez-Lincol, Nuevo Laredo, Tamaulipas, Mexico"
1462,"Río Bravo, near International Bridge II, Eagle Pass, Maverick County, Texas, USA"
1463,"Río Bravo, near International Bridge II, Piedras Negras, Coahuila, Mexico"
1464,"Río Bravo, near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico"
1465,"Río Bravo, near International Bridge Reynosa-Hidalgo, Tamaulipas, Mexico"
1466,"Río Bravo, near International Brigde 1, Piedras Negras, Coahuila, Mexico"
1467,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico"
1468,"Río Bravo, near KM 10 National Highway, Nuevo Laredo, Tamaulipas, Mexico"
1469,"Río Bravo, near Kickapoo Casino, Eagle Pass, Maverick County, Texas"
1470,"Río Bravo, near La Ensenada in Poblado Venecia, Gustavo Díaz Ordaz, Tamaulipas, Mexico"
1471,"Río Bravo, near La Galeana, Matamoros, Tamaulipas, Mexico"
1472,"Río Bravo, near La Playita, Reynosa, Tamaulipas, Mexico"
1473,"Río Bravo, near Las Piedritas, Camargo, Tamaulipas, Mexico"
1474,"Río Bravo, near Los Ángeles, Miguel Alemán, Tamaulipas, Mexico"
1475,"Río Bravo, near Los Ébanos, Hidalgo County, Texas, USA"
1476,"Río Bravo, near Miguel Alemán, Tamaulipas, Mexico"
1477,"Río Bravo, near Military Road, Peñitas, Hidalgo County, Texas, USA"
1478,"Río Bravo, near Minas del Seco, Maverick County, USA"
1479,"Río Bravo, near Mission, Hidalgo County, Texas, USA"
1480,"Río Bravo, near Patricio Perez, Havana, Hidalgo County, Texas, US"
1481,"Río Bravo, near Peñitas, Hidalgo County, Texas"
1482,"Río Bravo, near Peñitas, Hidalgo County, Texas, USA"
1483,"Río Bravo, near Planta Tratadora de Aguas Negras de la Comisión Municipal de Agua Potable y Alcantarillado, Nuevo Laredo, Tamaulipas, Mexico"
1484,"Río Bravo, near Puente III del Comercio Mundial, Nuevo Laredo, Tamaulipas, Mexico"
1485,"Río Bravo, near Puente Internacional II Juárez-Lincoln, Nuevo Laredo, Tamaulipas, Mexico"
1486,"Río Bravo, near Ranch Leonard, Eagle Pass, Texas, USA"
1487,"Río Bravo, near Rancho Don Eutimio, KM 210 Carretera Ribereña, Nuevo Laredo, Tamaulipas, Mexico"
1488,"Río Bravo, near Rancho El Progreso, Nuevo Laredo, Tamaulipas, Mexico"
1489,"Río Bravo, near Rancho El Sinaí, Reynosa, Tamaulipas, Mexico"
1490,"Río Bravo, near Rancho Las Dos Cruces, Guerrero, Coahuila, Mexico"
1491,"Río Bravo, near Rancho Las Trancas, Jiménez, Coahuila, Mexico"
1492,"Río Bravo, near Rancho Río Grande, KM110 of Federal Highway 2, between Guerrero and Hidalgo, Coahuila, Mexico"
1493,"Río Bravo, near Rancho Toluca, Progreso, Hidalgo County, Texas, USA"
1494,"Río Bravo, near Reynosa Díaz, Tamaulipas, Mexico"
1495,"Río Bravo, near San Miguel Nuevo, Gustavo Díaz Ordaz, Tamaulipas, Mexico"
1496,"Río Bravo, near Zapata, Zapata County, Texas, USA"
1497,"Río Bravo, near barrio El Molcajete, Piedras Negras, Coahuila, Mexico"
1498,"Río Bravo, near municipality of Rio Bravo, Webb County, Texas, USA"
1499,"Río Bravo, near Éjido El Bayito, Nuevo Laredo, Tamaulipas, Mexico"
1500,"Río Bravo, near Éjido El Moral, Piedras Negras, Coahuila, Mexico"
1501,"Río Bravo, near Éjido El Refugio, Matamoros, Tamaulipas, Mexico"
1502,"Río Bravo, near 1821 Old Military Road, Peñitas, Hidalgo County, Texas, USA"
1503,"Río Bravo, south of Eagle Pass port of entry, Maverick County, Texas, USA"
1504,"Río Bravo, south of Laredo, Webb County, Texas, USA"
1505,"Río Bravo, Éjido Cavazos, Reynosa, Tamaulipas, Mexico"
1506,"Río Bravo, Éjido el Porvenir, near International Bridge Reynosa-Hidalgo, Reynosa, Tamaulipas, Mexico"
1507,"Río Bravo, near Bvd. Luis Donaldo Colosio and Calle Hidalgo, Nuevo Laredo, Tamaulipas, Mexico"
1508,"Río Bravo, near Ejido El Saucito, Piedras Negras, Coahuila, Mexico"
1509,"Río Colorado, near Ciudad Morelos, Baja California, Mexico"
1510,"Río Grande, Nuevo Laredo, Tamaulipas, Mexico"
1511,"Río Nuevo, Calexico, Imperial County, California, USA"
1512,"San Diego County, California"
1513,"San Ysidro Port of Entry, border crossing between Tijuana and San Diego, California, USA"
1514,"Sawtooth Mountains, California, USA"
1515,"Starr County, Texas, USA"
1516,"State Route 79 near milepost 122.3, south of Forence, Arizona, USA"
1517,"Sunland Park, near Santa Teresa port of entry, Doña Ana County, New Mexico, USA"
1518,"Tecate, Baja California, Mexico"
1519,"Temporary migrant shelter in Villa Verde, Mexicali, Baja California, Mexico"
1520,Texas
1521,"Tijuana beach, near US-Mexico border fence, Baja California, Mexico"
1522,"Train rails in Nava municipality, near Piedras Negras, Coahuila, Mexico"
1523,"Train tracks 10 miles north of Eagle Pass, Texas, USA"
1524,"Train tracks between Blvrd. Lázaro Cárdenas and Adolfo López Mateos, Mexicali, Baja California, Mexico"
1525,"Train tracks between Uvalde and Hondo, Uvalde County, Texas, USA"
1526,US - Arizona
1527,"US Highway 83 near La Grulla, Starr County, Texas"
1528,"US side of Rio Grande River near Brackettville, Del Rio Border Patrol Sector, Texas"
1529,"US-Mexico border (Texas (?), county unknown)"
1530,US-Mexico border near Nogales
1531,"Unspecified - Dimmit, Edwards, Kinney, Maverick, Real, Uvalde or Zavala County, Texas, USA"
1532,"Unspecified location in Kenedy County, Texas, USA"
1533,"Unspecified location in Río Bravo, US-Mexico border"
1534,Unspecified location in the Río Bravo
1535,"Unspecified location in the desert in New Mexico, USA"
1536,"Unspecified location near Sarita, Kennedy County, Texas, USA"
1537,Unspecified location on the US/Mexico border
1538,"Unspecified location on the side of Highway 131 between Eagle Pass and Brackettville, Maverick County, Texas"
1539,"Unspecified location, Kenedy County, Texas, USA"
1540,"Val Verde County, Texas, USA"
1541,"Various locations in Texas, USA"
1542,"Walmart parking lot in San Antonio, Bexar County, Texas, USA"
1543,"Water basin near Mercedes, Hidalgo County, Texas, USA"
1544,"Water basin south of Mercedes, Hidalgo County, Texas, USA"
1545,"Webb County  jurisdiction, Texas"
1546,Webb County Medical Examiner jurisdiction
1547,"Webb County jurisdiction, Texas"
1548,"Webb County, Texas, USA"
1549,"West Highway 285 with County Road 108, Brooks County, Texas"
1550,"West Main Canal, Seeley, CA"
1551,"West Ranch, Brooks County, Texas, USA"
1552,"West of Encinal, La Salle County, Texas, USA"
1553,"Wetlands near ranch in Imperial County, California, USA"
1554,"White Head Ranch, Maverick, Eagle Pass, Texas, USA"
1555,"Yuha desert near Calexico, Imperial County, California, USA"
1556,"Yuma, Arizona"
1557,"Zapata County, Texas, USA"
1558,"bodies found at various points in the Rio Grande, Miguel Aleman, Tamaulipas, Mexico"
1559,"desert near Webb and Zavala counties, Texas"
1560,"in Riviera, Kleberg County, Texas"
1561,"in the Rio Grande 1.5 miles from South 15th street, Hidalgo County, Texas"
1562,"near Border Patrol Checkpoint in Sarita, Kenedy County, Texas, USA"
1563,"near Carrizo, Dimmit County, Texas"
1564,"near Douglas, Arizona"
1565,"near I-5 in San Ysidro, San Diego, California"
1566,"ranch in El Indio, Maverick County, Texas"
1567,"ranch in Falfurrias, Hidalgo County, Texas"
1568,
